path,label_id
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/2a97b29d-8a63-47ab-bd5b-c14832a586c8___FREC_Scab 3242_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/453b09e4-6469-47f9-8599-f87e1d6eddf3___FREC_Scab 3048_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/d48c6280-ceec-4b35-bc04-bbbf56995203___FREC_Scab 3262_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/dc12e2fd-e41b-43b5-9874-09661913316e___FREC_Scab 3073_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/33ebf0dd-f971-4f11-aa93-45df7d55a9ea___FREC_Scab 3182_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/8bcbb4fb-c733-4fc7-92d2-6e4a442e592e___FREC_Scab 3506_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/84e61e7e-f106-442c-a954-63dc3a57d5d5___FREC_Scab 3057_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/67f122a8-fb8f-4b8c-bd45-3cf11db238b8___FREC_Scab 3140_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/670efd0e-9a5e-44db-bd5a-4ffb5c5e5a7d___FREC_Scab 3108_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/18ea82fd-4e16-416f-8ad9-54e0f6601693___FREC_Scab 3127_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/91decba3-10b0-4d3e-974c-bcc7729e867d___FREC_Scab 3527_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/4e2c27a7-4be1-4c86-a07b-bc2a64c1bff9___FREC_Scab 3018_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/659a6491-b20d-4ff6-a3be-243266b4df0c___FREC_Scab 3155_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/55cd6283-a5b1-47e9-b061-c7692c8ba781___FREC_Scab 3460_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/675f0b56-9d0b-45b3-8c8e-820efae75274___FREC_Scab 3006_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/5c0af4dd-f185-4fc9-ae2c-a697a235d660___FREC_Scab 2955_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/4be9d1d9-2170-4856-a81e-e53e7aa5dbf7___FREC_Scab 3082_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/1cb869ea-0a4c-47d7-9def-a88c16b72ddc___FREC_Scab 3350_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/98f72edf-a354-43de-8734-a697d8cdd3f5___FREC_Scab 3400_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/7be1e0a3-01d0-40c3-9628-f69952550267___FREC_Scab 3263_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/7966ec90-1939-40ea-a4f7-99aca4fe8af5___FREC_Scab 3402_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/6a006aa9-a9f2-4269-9fd9-7a879f01faf1___FREC_Scab 3117_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/8eaf0422-c84e-4521-8628-85cf2fc91e7c___FREC_Scab 2989_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/f2391b26-b388-4ffc-b735-9b8d859d1ffa___FREC_Scab 3312_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/233b7aec-ccec-47a3-b5bd-27e154d7a8f7___FREC_Scab 2912_final_masked.jpg,0
data/shared_subset/hybrid/pv/Apple_Scab_Leaf/c54db2df-2fe4-44e0-8a54-aee97e74acf5___FREC_Scab 3318_final_masked.jpg,0
